ALF,69.976097,23.371700,ENAT
ALG,36.693886,3.214531,DAAG
ALH,-34.943333,117.808889,YABA
ALO,42.557098,-92.400299,KALO
ALP,36.181262,37.226869,OSAP
ALS,37.434898,-105.866997,KALS
ALW,46.094898,-118.288002,KALW
AMA,35.217857,-101.706444,KAMA
AMD,23.077200,72.634697,VAAH
AMH,6.039390,37.590500,HAAM
AMM,31.722601,35.993198,OJAI
AMQ,-3.710260,128.089005,WAPP
AMS,52.308601,4.763890,EHAM
AMV,69.763712,61.556711,ULDD
ANC,61.179004,-149.992561,PANC
ANF,-23.445274,-70.445232,SCFA
ANI,61.581600,-159.542999,PANI
ANR,51.190667,4.463153,EBAW
ANS,-13.706400,-73.350403,SPHY
ANU,17.136700,-61.792702,TAPA
ANV,62.646702,-160.190994,PANV
ANX,69.295193,16.139379,ENAN
ANYN,-0.547893,166.919525,ANYN
AOE,39.811644,30.519268,LTBY
AOG,41.105301,122.853996,ZYAS
AOI,43.616299,13.362300,LIPY
AOJ,40.733777,140.689477,RJSA
AOK,35.421398,27.146000,LGKP
AOO,40.296398,-78.320000,KAOO
AOQ,72.887030,-55.596287,BGAG
AOR,6.189670,100.398003,WMKA
AOS,57.471500,-153.815002,AK81
APK,-15.573600,-146.414993,NTGD
APL,-15.105600,39.281799,FQNP
APN,45.078098,-83.560303,KAPN
APO,7.811960,-76.716400,SKLC
APW,-13.830000,-172.007996,NSFA
AQA,-21.812000,-48.132999,SBAQ
AQG,30.582199,117.050003,ZSAQ
AQI,28.335726,46.127108,OEPA
AQJ,29.611601,35.018101,OJAQ
AQP,-16.340786,-71.569485,SPQU
ARC,68.114700,-145.578995,PARC
ARD,-8.132340,124.597000,WATM
ARH,64.600304,40.716702,ULAA
ARI,-18.348499,-70.338699,SCAR
ARK,-3.367790,36.633301,HTAR
ARM,-30.528099,151.617004,YARM
ARN,59.648490,17.928829,ESSA
ART,43.991901,-76.021698,KART
ARU,-21.141479,-50.424575,SBAU
ARW,46.176136,21.264322,LRAR
ASB,37.986801,58.361000,UTAA
ASD,24.697901,-77.795601,MYAF
ASE,39.223202,-106.869003,KASE
ASF,46.282843,48.010511,URWA
ASI,-7.970179,-14.392744,FHAW
ASJ,28.430599,129.712997,RJKA
ASM,15.291900,38.910702,HHAS
ASO,10.018500,34.586300,HASO
ASP,-23.806588,133.903427,YBAS
ASR,38.770401,35.495399,LTAU
ASU,-25.240156,-57.519227,SGAS
ASV,-2.644786,37.252922,HKAM
ASW,23.961075,32.820382,HESN
ATC,24.629400,-75.673797,MYCA
ATH,37.936401,23.944500,LGAV
ATK,70.467040,-157.436013,PATQ
ATL,33.636700,-84.428101,KATL
ATM,-3.253144,-52.253938,SBHT
ATQ,31.709600,74.797302,VIAR
ATW,44.258515,-88.519000,KATW
ATY,44.914001,-97.154701,KATY
ATZ,27.045962,31.012760,HEAT
AUA,12.501056,-70.014281,TNCA
AUC,7.068880,-70.736900,SKUC
AUG,44.320599,-69.797302,KAUG
AUH,24.440966,54.649237,OMAA
AUK,62.682653,-164.722481,PAUK
AUQ,-9.768790,-139.011002,NTMN
AUR,44.891399,2.421940,LFLW
AUS,30.197535,-97.662015,KAUS
AUU,-13.354019,141.720028,YAUR
AUX,-7.227870,-48.240501,SWGN
AVA,26.260556,105.873333,ZUAS
AVK,46.250301,102.802002,ZMAH
AVL,35.435488,-82.541853,KAVL
AVN,43.907299,4.901830,LFMV
AVP,41.337064,-75.724232,KAVP
AVR,20.814608,77.717765,VAAM
AVV,-38.040269,144.467196,YMAV
AWA,7.100611,38.396455,HALA
AWK,19.282437,166.636637,PWAK
AWZ,31.336400,48.763789,OIAW
AXA,18.204773,-63.053830,TQPF
AXD,40.855900,25.956301,LGAL
AXF,38.748317,105.584160,ZBAL
AXJ,32.482498,130.158997,RJDA
AXM,4.452780,-75.766400,SKAR
AXP,22.441799,-73.970901,MYAP
AXR,-15.248300,-146.617004,NTGU
AXT,39.615601,140.218994,RJSK
AXU,14.146800,38.772800,HAAX
AYBA,-7.496955,144.821756,AYBA
AYBK,-5.422299,154.672698,AYBK
AYBM,-8.050000,142.932999,AYBM
AYCH,-6.024290,144.970993,AYCH
AYDU,-9.086760,143.207993,AYDU
AYET,-7.237257,141.106322,AYET
AYGA,-6.081690,145.391998,AYGA
AYGN,-10.311500,150.334000,AYGN
AYGR,-8.804540,148.309006,AYGR
AYGT,-6.271110,150.330994,AYGT
AYHK,-5.463846,150.407327,AYHK
AYIQ,-6.305727,155.728249,AYIQ
AYJ,26.747736,82.163664,VEAY
AYKA,-8.505820,151.080994,AYKA
AYKI,-6.125710,141.281998,AYKI
AYKK,-7.424380,144.250076,AYKK
AYKM,-7.963610,145.770996,AYKM
AYKV,-2.579400,150.807999,AYKV
AYKY,-3.043610,152.628998,AYKY
AYLM,-7.009920,141.494003,AYLM
AYMD,-5.207080,145.789001,AYMD
AYMH,-5.828212,144.299412,AYMH
AYMN,-6.147740,143.656998,AYMN
AYMO,-2.061890,147.423996,AYMO
AYMR,-6.363330,143.238007,AYMR
AYMS,-10.689200,152.837997,AYMS
AYNZ,-6.567995,146.726544,AYNZ
AYOB,-7.590622,141.324263,AYOB
AYP,-13.154800,-74.204399,SPHO
AYPY,-9.443380,147.220001,AYPY
AYQ,-25.185913,130.977030,YAYE
AYSS,-7.621700,142.868000,AYSS
AYT,36.898701,30.800501,LTAI
AYTA,-5.845000,142.947998,AYTA
AYTB,-5.280471,141.227576,AYTB
AYTI,-8.356667,146.989167,AYTI
AYTK,-4.340460,152.380005,AYTK
AYTU,-9.075954,149.319839,AYTU
AYVN,-2.692600,141.302800,AYVN
AYWD,-5.635293,143.892231,AYWD
AYWK,-3.583830,143.669006,AYWK
AZA,33.307800,-111.654999,KIWA
AZD,31.904900,54.276501,OIYY
AZN,40.727699,72.293999,UZFA
AZO,42.232105,-85.549637,KAZO
AZR,27.837601,-0.186414,DAUA
AZS,19.269259,-69.737405,MDCY
BAH,26.267295,50.637640,OBBI
BAL,37.929001,41.116600,LTCJ
BAQ,10.889600,-74.780800,SKBQ
BAR,19.140951,110.452766,ZJQH
BAS,-6.990745,155.886656,AGGE
BAV,40.560001,109.997002,ZBOW
BAX,53.361285,83.539701,UNBB
BAY,47.658444,23.464445,LRBM
BAZ,-0.981191,-62.918603,SWBC
BBA,-45.915968,-71.689499,SCBA
BBG,3.085830,172.811005,NGTU
BBI,20.251021,85.814747,VEBS
BBK,-17.831653,25.166195,FBKE
BBM,13.095600,103.223999,VDBG
BBN,3.734648,115.478548,WBGZ
BBO,10.385035,44.936723,HCMI
BBQ,17.621194,-61.798347,TAPB
BBR,16.013648,-61.742928,TFFB
BBU,44.503133,26.102944,LRBS
BCA,20.365299,-74.506203,MUBA
BCD,10.776237,123.018879,RPVB
BCH,-8.486479,126.399981,WPEC
BCI,-23.566268,145.302086,YBAR
BCM,46.521900,26.910299,LRBC
BCN,41.297100,2.078460,LEBL
BCO,5.749655,36.560165,HABC
BCU,10.482833,9.744000,DNBC
BDA,32.363802,-64.678240,TXKF
BDB,-24.905039,152.322612,YBUD
BDD,-10.149550,142.173665,YBAU
BDH,26.532283,54.824840,OIBL
BDJ,-3.440112,114.761209,WAOO
BDL,41.938555,-72.688016,KBDL
BDO,-6.900630,107.575996,WICC
BDP,26.570801,88.079597,VNCG
BDQ,22.336201,73.226303,VABO
BDS,40.657600,17.947001,LIBR
BDT,4.252745,20.975271,FZFD
BDU,69.055801,18.540400,ENDU
BEB,57.481098,-7.362780,EGPL
BED,42.470001,-71.289001,KBED
BEF,11.991000,-83.774101,MNBL
BEG,44.818401,20.309099,LYBE
BEJ,2.147760,117.430705,WAQT
BEK,28.422100,79.450798,VIBY
BEL,-1.379279,-48.476207,SBBE
BEM,32.401895,-6.315905,GMMD
BEN,32.096802,20.269501,HLLB
BER,52.361738,13.502341,EDDB
BES,48.447899,-4.418540,LFRB
BET,60.779800,-161.837997,PABE
BEU,-24.346100,139.460007,YBIE
BEW,-19.796400,34.907600,FQBR
BEY,33.819833,35.487443,OLBA
BFD,41.803101,-78.640099,KBFD
BFF,41.874001,-103.596001,KBFF
BFI,47.527042,-122.299950,KBFI
BFJ,27.267066,105.472097,ZUBJ
BFL,35.433601,-119.056999,KBFL
BFN,-29.092699,26.302401,FABL
BFQ,7.587370,-78.179939,MPPI
BFS,54.657501,-6.215830,EGAA
BFV,15.229500,103.252998,VTUO
BFY,33.166292,117.058344,ZSBA
BGA,7.126500,-73.184800,SKBG
BGAA,68.721802,-52.784698,BGAA
BGAG,72.887030,-55.596287,BGAG
BGAK,68.744273,-52.340369,BGAK
BGAM,65.612296,-37.618335,BGAM
BGAP,60.464450,-45.569170,BGAP
BGAQ,60.148357,-44.286916,BGAQ
BGAS,60.597376,-45.382445,BGAS
BGAT,67.940663,-53.621870,BGAT
BGBW,61.159580,-45.424690,BGBW
BGC,41.857800,-6.707130,LPBG
BGCH,68.822816,-51.173447,BGCH
BGCO,70.743103,-22.650499,BGCO
BGET,60.619720,-45.914062,BGET
BGF,4.398480,18.518801,FEFF
BGFD,60.004694,-44.656935,BGFD
BGG,38.860131,40.594489,LTCU
BGGD,61.228960,-48.096980,BGGD
BGGH,64.191066,-51.679140,BGGH
BGGN,69.251182,-53.514876,BGGN
BGI,13.074667,-59.491034,TBPB
BGIA,70.498145,-51.303084,BGIA
BGIG,68.145830,-53.169160,BGIG
BGIK,68.140881,-53.441459,BGIK
BGIL,69.080915,-51.114315,BGIL
BGIN,73.199895,-56.010817,BGIN
BGIO,60.992290,-45.431428,BGIO
BGIS,65.547792,-38.976552,BGIS
BGIT,68.634253,-51.832262,BGIT
BGJN,69.243202,-51.057098,BGJN
BGK,16.519369,-88.407913,MZBG
BGKA,68.312657,-53.460208,BGKA
BGKK,65.573601,-37.123600,BGKK
BGKL,72.152743,-55.530986,BGKL
BGKM,65.863935,-36.997919,BGKM
BGKS,72.381092,-55.536586,BGKS
BGKT,68.857926,-53.123295,BGKT
BGLL,71.241944,-53.562877,BGLL
BGM,42.208698,-75.979797,KBGM
BGMQ,65.412498,-52.939400,BGMQ
BGNK,68.236381,-52.852148,BGNK
BGNN,60.141884,-45.232977,BGNN
BGNQ,71.538769,-53.205038,BGNQ
BGNS,60.917283,-46.059923,BGNS
BGNT,70.789385,-53.662945,BGNT
BGO,60.293400,5.218140,ENBR
BGPT,62.014736,-49.670937,BGPT
BGQE,69.995861,-51.300917,BGQE
BGQO,60.763830,-46.065001,BGQO
BGQQ,77.488602,-69.388702,BGQQ
BGQT,60.780959,-47.156249,BGQT
BGR,44.806364,-68.826668,KBGR
BGSC,70.488229,-21.971680,BGSC
BGSF,67.010446,-50.715294,BGSF
BGSG,65.905920,-36.378254,BGSG
BGSI,77.786517,-70.638657,BGSI
BGSO,60.537778,-46.024722,BGSO
BGSQ,70.011448,-51.932142,BGSQ
BGSS,66.951302,-53.729301,BGSS
BGST,70.811172,-51.631290,BGST
BGSV,76.018613,-65.117683,BGSV
BGTA,73.373055,-56.060280,BGTA
BGTN,65.892027,-37.783409,BGTN
BGTQ,60.194305,-44.813447,BGTQ
BGUK,72.790199,-56.130600,BGUK
BGUM,70.680428,-52.111630,BGUM
BGUQ,70.734200,-52.696201,BGUQ
BGUT,71.049438,-51.890016,BGUT
BGW,33.262501,44.234600,ORBI
BGY,45.669362,9.708851,LIME
BHB,44.450001,-68.361504,KBHB
BHD,54.618099,-5.872500,EGAC
BHE,-41.518299,173.869995,NZWB
BHH,19.984400,42.620899,OEBH
BHI,-38.725000,-62.169300,SAZB
BHJ,23.287800,69.670197,VABJ
BHK,39.775319,64.482279,UZSB
BHM,33.562877,-86.750712,KBHM
BHO,23.287500,77.337402,VABP
BHQ,-32.001400,141.472000,YBHI
BHR,27.678101,84.429398,VNBP
BHS,-33.406817,149.651161,YBTH
BHU,21.752199,72.185204,VABV
BHV,29.348101,71.718002,OPBW
BHX,52.453899,-1.748030,EGBB
BHY,21.538659,109.293683,ZGBH
BIA,42.552700,9.483730,LFKB
BIAR,65.656573,-18.072018,BIAR
BID,41.168446,-71.578631,KBID
BIEG,65.283302,-14.401400,BIEG
BIGR,66.545800,-18.017300,BIGR
BIH,37.373100,-118.363998,KBIH
BIHN,64.295601,-15.227200,BIHN
BIIS,66.058098,-23.135300,BIIS
BIK,-1.190020,136.108002,WABB
BIKF,63.985001,-22.605600,BIKF
BIL,45.808932,-108.541242,KBIL
BIM,25.699900,-79.264702,MYBS
BIO,43.301102,-2.910610,LEBB
BIQ,43.468372,-1.523223,LFBZ
BIR,26.481501,87.264000,VNVT
BIRK,64.128732,-21.937590,BIRK
BIS,46.772734,-100.746874,KBIS
BITN,66.218459,-15.334739,BITN
BIVO,65.720596,-14.850600,BIVO
BJA,36.712547,5.069909,DAAE
BJB,37.493000,57.308201,OIMN
BJC,39.908798,-105.116997,KBJC
BJF,70.600250,29.692612,ENBS
BJL,13.338000,-16.652201,GBYD
BJM,-3.324020,29.318501,HBBA
BJR,11.608100,37.321602,HABD
BJV,37.249314,27.664010,LTFE
BJX,20.992695,-101.480284,MMLO
BJZ,38.891300,-6.821330,LEBZ
BKC,65.981598,-161.149002,PABL
BKG,36.532082,-93.200544,KBBG
BKI,5.932743,116.049324,WBKK
BKK,13.681100,100.747002,VTBS
BKM,3.974000,115.617996,WBGQ
BKN,39.681052,54.206008,UTAN
BKO,12.533500,-7.949940,GABS
BKPR,42.572800,21.035801,BKPR
BKQ,-24.431678,145.429716,YBCK
BKS,-3.863700,102.338997,WIGG
BKW,37.787300,-81.124199,KBKW
BKZ,-1.332000,31.821200,HTBU
BLA,10.111111,-64.692222,SVBC
BLB,8.914790,-79.599602,MPPA
BLD,35.947161,-114.858799,KBVU
BLE,60.422001,15.515200,ESSD
BLI,48.792801,-122.538002,KBLI
BLJ,35.752102,6.308590,DABT
BLL,55.740335,9.157019,EKBI
BLQ,44.535400,11.288700,LIPE
BLR,13.197900,77.706299,VOBL
BLV,38.545200,-89.835197,KBLV
BLW,4.766976,45.238800,HCMN
BLZ,-15.677189,34.972319,FWCL
BMA,59.354401,17.941700,ESSB
BME,-17.949194,122.228300,YBRM
BMI,40.477100,-88.915901,KBMI
BMK,53.596390,6.709167,EDWR
BMO,24.270440,97.247600,VYBM
BMR,53.724850,7.373257,EDWZ
BMU,-8.537184,118.685002,WADB
BMV,12.668300,108.120003,VVBM
BMW,21.377800,0.926980,DATM
BMY,-19.720521,163.661077,NWWC
BNA,36.124500,-86.678200,KBNA
BNB,-0.286652,20.883551,FZGN
BND,27.218300,56.377800,OIKB
BNE,-27.384199,153.117004,YBBN
BNI,6.316980,5.599500,DNBE
BNK,-28.833236,153.561471,YBNA
BNN,65.461098,12.217500,ENBN
BNS,8.615000,-70.214167,SVBI
BNX,44.941399,17.297501,LQBK
BNY,-11.302222,159.798333,AGGB
BOB,-16.444401,-151.751007,NTTB
BOC,9.340850,-82.250801,MPBO
BOD,44.828650,-0.715356,LFBD
BOG,4.701590,-74.146900,SKBO
BOH,50.780483,-1.839576,EGHH
BOI,43.564400,-116.223000,KBOI
BOJ,42.569917,27.515173,LBBG
BOM,19.088699,72.867897,VABB
BON,12.131000,-68.268501,TNCB
BOO,67.269203,14.365300,ENBO
BOR,20.323986,100.165392,VLBK
